1,"Toy Story (1995)",114709,8.3,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
2,"Jumanji (1995)",113497,7.0,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
3,"Grumpier Old Men (1995)",113228,6.7,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
4,"Waiting to Exhale (1995)",114885,5.9,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender."
5,"Father of the Bride Part II (1995)",113041,6.1,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
6,"Heat (1995)",113277,8.2,"A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist."
7,"Sabrina (1995)",114319,6.3,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,"Tom and Huck (1995)",112302,5.5,"Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime."
9,"Sudden Death (1995)",114576,5.8,"A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals."
10,"GoldenEye (1995)",113189,7.2,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as 'GoldenEye' is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
11,"American President, The (1995)",112346,6.8,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but 'politics is perception,' and sparks fly anyway."
12,"Dracula: Dead and Loving It (1995)",112896,5.9,"Mel Brooks ' parody of the classic vampire story and its famous film adaptations."
13,"Balto (1995)",112453,7.1,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
14,"Nixon (1995)",113987,7.1,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
15,"Cutthroat Island (1995)",112760,5.7,"A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure."
16,"Casino (1995)",112641,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast living and fast loving socialite."
17,"Sense and Sensibility (1995)",114388,7.6,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
18,"Four Rooms (1995)",113101,6.8,"Four interlocking tales that take place in a fading hotel on New Year's Eve."
19,"Ace Ventura: When Nature Calls (1995)",112281,6.4,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
20,"Money Train (1995)",113845,5.7,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
